lag_ps,Li_A2,Zr_A2,O_A2,Cl_A2
1.230000000000000071e+01,2.079005358982929152e+00,2.082251643706306832e-01,1.953391967720823352e-01,4.900961076116708282e-01
1.240000000000000036e+01,2.091193251095491146e+00,2.074311053975967933e-01,1.971016107736790757e-01,4.890871929882656399e-01
1.250000000000000000e+01,2.102295333362619978e+00,2.061530104246993289e-01,1.970972358551844328e-01,4.875721614166112494e-01
1.260000000000000142e+01,2.115058837199163211e+00,2.054282317831270799e-01,1.949834755738881764e-01,4.873769640487120025e-01
1.270000000000000107e+01,2.126677739777365073e+00,2.052582870668669957e-01,1.953350019743225474e-01,4.877342370550843964e-01
1.280000000000000071e+01,2.132930585447093907e+00,2.049363709449607829e-01,1.933535240169495795e-01,4.887274258968938301e-01
1.290000000000000036e+01,2.139657440344379324e+00,2.042514012204136864e-01,1.921315743556893108e-01,4.887022318707024415e-01
1.300000000000000000e+01,2.145563586541897827e+00,2.031323289772055674e-01,1.914660930529678284e-01,4.866308338281197798e-01
1.310000000000000142e+01,2.149903022451578494e+00,2.029177233561590410e-01,1.913739953465975197e-01,4.862403243258025531e-01
1.320000000000000107e+01,2.156775671766947955e+00,2.038849139355673468e-01,1.913800381973064513e-01,4.876665779532823874e-01
1.330000000000000071e+01,2.165302310357982041e+00,2.047028907263563902e-01,1.909459332202179394e-01,4.885785877264630650e-01
1.340000000000000036e+01,2.173688790124112646e+00,2.050947517579262691e-01,1.929269709154190771e-01,4.908603447777556972e-01
1.350000000000000000e+01,2.184852345239117977e+00,2.049688952600440262e-01,1.942462666284184569e-01,4.919651951459361183e-01
1.360000000000000142e+01,2.191257492184720324e+00,2.046272658733366834e-01,1.939782567801479896e-01,4.922273895853971348e-01
1.370000000000000107e+01,2.199829334858391494e+00,2.040509372492655404e-01,1.928557047905693211e-01,4.919917799864009234e-01
1.380000000000000071e+01,2.209727132879744982e+00,2.034202790772468850e-01,1.923602337884112168e-01,4.920450203731058791e-01
1.390000000000000036e+01,2.219075416823412361e+00,2.032251343206108452e-01,1.928292305432161013e-01,4.920496922827893305e-01
1.400000000000000000e+01,2.228143290907337537e+00,2.035300836680296599e-01,1.932133613807005823e-01,4.922211356375607028e-01
1.410000000000000142e+01,2.237306726844446647e+00,2.047874485218224849e-01,1.940306628589897331e-01,4.942102320698431583e-01
1.420000000000000107e+01,2.251177534808329384e+00,2.063223078954563861e-01,1.957743143839103250e-01,4.960995065685544492e-01
1.430000000000000071e+01,2.261722914272478402e+00,2.071612677163148231e-01,1.961593869890158881e-01,4.974996807125997011e-01
1.440000000000000036e+01,2.272530040797114292e+00,2.087500000472948536e-01,1.964725734844791072e-01,4.997442833392645722e-01
1.450000000000000000e+01,2.283372195848852204e+00,2.107769552098195109e-01,1.983356958269383852e-01,5.022899837818322055e-01
1.460000000000000142e+01,2.294847930684698500e+00,2.124630194186271359e-01,1.995012030152226168e-01,5.057818345356236422e-01
1.470000000000000107e+01,2.305994548609138217e+00,2.140894013212234492e-01,2.008826419067000213e-01,5.086758104708835049e-01
1.480000000000000071e+01,2.312263257026665908e+00,2.140039448021600343e-01,1.996100036241154341e-01,5.100404975188123080e-01
1.490000000000000036e+01,2.319711841546860942e+00,2.132120812527444620e-01,1.983323646907138027e-01,5.103446772865848358e-01
1.500000000000000000e+01,2.326920594021588684e+00,2.124106734729437895e-01,1.988517427790284231e-01,5.094619096378140144e-01
1.510000000000000142e+01,2.335976262738657994e+00,2.107916043812719520e-01,1.979319328798784527e-01,5.066003841924943130e-01
1.520000000000000107e+01,2.344157562140082529e+00,2.095210332641046780e-01,1.955871878403558917e-01,5.049203163024535979e-01
1.530000000000000071e+01,2.354688601106721180e+00,2.088218954219922541e-01,1.944757388982329971e-01,5.046290847915728683e-01
1.540000000000000036e+01,2.364701502626047613e+00,2.088403510305462396e-01,1.944512724377308044e-01,5.056160193261227676e-01
1.550000000000000000e+01,2.373289150933872715e+00,2.092989262808308271e-01,1.966718699330962661e-01,5.072059162442446034e-01
1.560000000000000142e+01,2.381257289570624103e+00,2.097620931292664970e-01,1.964007570490872434e-01,5.094125711917902866e-01
1.570000000000000107e+01,2.391353688405360778e+00,2.100166494384068105e-01,1.978591857804326282e-01,5.117049209917838848e-01
