lag_ps,Li,Zr,Cl,S,O
1.210000000000000142e+01,9.254488824750527476e-01,4.440699323163152523e-01,9.556041890949719120e-01,3.143640739979654541e-01,4.674295996541530940e-01
1.220000000000000107e+01,9.264678494543285847e-01,4.449439870954779996e-01,9.567422448779862032e-01,3.154613762223181794e-01,4.689769107111602664e-01
1.230000000000000071e+01,9.275382107743502802e-01,4.462212948844642146e-01,9.585408839160293182e-01,3.165403607444425282e-01,4.701969955974101834e-01
1.240000000000000036e+01,9.297485170556599732e-01,4.479124673287118164e-01,9.608996388345522055e-01,3.183711262976127720e-01,4.726890382734340035e-01
1.250000000000000000e+01,9.313305782429232016e-01,4.496812936375009784e-01,9.635198073585130585e-01,3.199629154164229106e-01,4.750587449941655604e-01
1.260000000000000142e+01,9.314143703881544445e-01,4.510817290090708420e-01,9.655267566127073708e-01,3.213330856340240738e-01,4.767311818870372808e-01
1.270000000000000107e+01,9.299990782377753895e-01,4.523775175247903291e-01,9.670057952966009118e-01,3.222179957564515473e-01,4.777949448936339438e-01
1.280000000000000071e+01,9.298491534860992003e-01,4.538350497765426539e-01,9.681938002339529614e-01,3.230929509227626895e-01,4.795610767730529855e-01
1.290000000000000036e+01,9.286136749758786557e-01,4.555649110621404207e-01,9.698614849148371464e-01,3.244437828848807381e-01,4.810896651023338633e-01
1.300000000000000000e+01,9.311255127879362048e-01,4.575729862805410497e-01,9.724611159135123639e-01,3.257774213981815548e-01,4.834322549578556338e-01
1.310000000000000142e+01,9.337297757537538212e-01,4.596893836883288453e-01,9.754173417782261435e-01,3.277388575678570892e-01,4.859715763708267744e-01
1.320000000000000107e+01,9.360371893937535770e-01,4.618651705840727817e-01,9.785905995542248936e-01,3.293619547324930785e-01,4.879862876502987223e-01
1.330000000000000071e+01,9.395177250775034183e-01,4.638996386275265338e-01,9.816997031334817603e-01,3.307882817774164264e-01,4.899782239516061177e-01
1.340000000000000036e+01,9.434757785571437072e-01,4.655798418002154992e-01,9.850880182148750164e-01,3.320740584227192538e-01,4.917727714533906558e-01
1.350000000000000000e+01,9.457179269669730992e-01,4.670919783665584690e-01,9.884415507230367437e-01,3.332864667562046024e-01,4.934326521236916396e-01
1.360000000000000142e+01,9.492904499151028075e-01,4.687510960705456031e-01,9.921759589281970992e-01,3.344605802933356964e-01,4.951936759639702368e-01
1.370000000000000107e+01,9.525628547569673366e-01,4.704227111800180494e-01,9.951864020715903703e-01,3.355953003819102665e-01,4.968968216552341888e-01
1.380000000000000071e+01,9.551628991854603790e-01,4.718269429541439575e-01,9.976495121147304079e-01,3.364590347906836199e-01,4.979303142591494091e-01
1.390000000000000036e+01,9.576793339974419839e-01,4.729699473561767564e-01,1.000277823049166237e+00,3.371960436210039158e-01,4.988480287584959316e-01
1.400000000000000000e+01,9.599987080144309903e-01,4.733770407605444319e-01,1.001622940227357095e+00,3.372274871505396288e-01,4.993462106217850249e-01
1.410000000000000142e+01,9.615790300796290824e-01,4.734324541870489900e-01,1.001737419056319300e+00,3.367290165613556208e-01,4.993814981623962423e-01
