lag_ps,Li_A2,Zr_A2,Cl_A2,O_A2
2.811000000000000227e+02,1.653235859641247751e+00,2.946577973235509074e-01,7.887625795575473608e-01,2.037255062626390778e-01
2.811999999999999886e+02,1.660599448835310632e+00,2.935608677832998725e-01,7.874635297252382538e-01,2.051534803219100811e-01
2.813000000000000114e+02,1.660447121290620442e+00,2.927064717917035597e-01,7.877424907273435917e-01,2.062851619125821989e-01
2.814000000000000341e+02,1.666646042000870631e+00,2.933617177331401815e-01,7.878903917795382350e-01,2.084244664090688370e-01
2.815000000000000000e+02,1.666878232687760031e+00,2.948208651302252070e-01,7.900761873832642390e-01,2.120336463164830820e-01
2.816000000000000227e+02,1.668804137841492619e+00,2.960395789076880058e-01,7.925440258013070061e-01,2.108634823560245064e-01
2.816999999999999886e+02,1.671414892813216868e+00,2.971231406313137868e-01,7.942667790786474002e-01,2.114874512140942353e-01
2.818000000000000114e+02,1.673919606098019930e+00,2.978333241019953670e-01,7.961467667098118817e-01,2.129321550604811319e-01
2.819000000000000341e+02,1.673891131052128500e+00,2.957641207387594617e-01,7.947901027503907478e-01,2.122882926696911532e-01
2.820000000000000000e+02,1.673785998915855444e+00,2.945594671465660563e-01,7.953696711490360061e-01,2.087948691387183919e-01
2.821000000000000227e+02,1.670625363212681957e+00,2.932842936301716663e-01,7.961489312104919058e-01,2.046985162962710880e-01
2.821999999999999886e+02,1.671116199069459629e+00,2.940101430273166505e-01,7.964246119455079542e-01,2.048076947777418555e-01
2.823000000000000114e+02,1.673191322745470888e+00,2.961192315474079351e-01,7.970277279854379726e-01,2.037578306157245556e-01
2.824000000000000341e+02,1.675256587957826948e+00,2.988257713008170557e-01,7.989068858197795331e-01,2.053462928608807692e-01
2.825000000000000000e+02,1.673791146108686512e+00,3.009051567827560891e-01,8.000115766404229944e-01,2.097176438563864709e-01
2.826000000000000227e+02,1.679580166184640566e+00,3.015404155589532786e-01,7.992479911511115587e-01,2.109328493715197650e-01
2.826999999999999886e+02,1.694215465771946816e+00,3.034222128601823387e-01,8.021638444707466231e-01,2.162210690357503073e-01
2.828000000000000114e+02,1.706963252800670627e+00,3.046905394735154315e-01,8.041855913121225274e-01,2.170473924098846319e-01
2.829000000000000341e+02,1.713356971338565682e+00,3.059818151719604362e-01,8.055770155461011717e-01,2.179726788818957539e-01
2.830000000000000000e+02,1.716496052186875509e+00,3.056503127977667766e-01,8.056463967491568345e-01,2.170430038896260516e-01
2.831000000000000227e+02,1.710827675107060797e+00,3.033370301792468471e-01,8.020542531920865637e-01,2.120210232280760054e-01
2.831999999999999886e+02,1.703975058091260264e+00,2.986242862328435943e-01,7.972205627839964448e-01,2.066419169661626865e-01
2.833000000000000114e+02,1.702949581329505468e+00,2.940733904374609464e-01,7.941058594002086135e-01,2.027145135271102017e-01
2.834000000000000341e+02,1.696144868298702590e+00,2.911839755887245529e-01,7.919526575927634537e-01,2.030449795328117257e-01
2.835000000000000000e+02,1.698545862324934541e+00,2.906880423305002181e-01,7.922010673310284634e-01,2.001316432943447132e-01
2.836000000000000227e+02,1.700677428939511682e+00,2.897008694418101160e-01,7.916857197825081238e-01,1.991014854778319909e-01
2.836999999999999886e+02,1.701879481993294085e+00,2.912398929672732062e-01,7.934732729756126535e-01,1.997032616254041104e-01
2.838000000000000114e+02,1.701613765718961391e+00,2.946936047006705195e-01,7.972679447246395767e-01,2.049328802384653980e-01
2.839000000000000341e+02,1.705971093312076414e+00,2.992726820255474096e-01,8.032094779263296846e-01,2.125425468519758776e-01
2.840000000000000000e+02,1.713114072881681604e+00,3.060778301309725058e-01,8.097466907203056952e-01,2.149550857104901291e-01
2.841000000000000227e+02,1.715844833308434625e+00,3.118983093949067031e-01,8.143647187356812811e-01,2.201157270331367544e-01
2.841999999999999886e+02,1.713359597598864248e+00,3.154684029863827344e-01,8.190894860431945368e-01,2.219884373492457819e-01
2.843000000000000114e+02,1.716756909755549509e+00,3.163789080188461056e-01,8.203227064202146535e-01,2.230628965346123926e-01
2.844000000000000341e+02,1.717863008156953919e+00,3.162951728579637134e-01,8.195401358954612636e-01,2.251928686333549146e-01
2.845000000000000000e+02,1.712977448123558011e+00,3.135746792351670753e-01,8.174934628866872277e-01,2.217290045771925233e-01
2.846000000000000227e+02,1.712399073749220291e+00,3.080922858998710323e-01,8.139597326385884513e-01,2.163127961810950295e-01
2.846999999999999886e+02,1.709518814879922077e+00,3.026765572887729072e-01,8.087565061796219146e-01,2.121069566927231698e-01
2.848000000000000114e+02,1.702139497840476023e+00,2.974244356797540179e-01,8.015885263379392001e-01,2.109063262177615083e-01
2.849000000000000341e+02,1.700753836001338115e+00,2.941049645936656409e-01,7.967001726850553300e-01,2.050658993728153856e-01
2.850000000000000000e+02,1.701290050819814326e+00,2.919846702217520629e-01,7.938454479624703630e-01,2.043466412974717927e-01
2.851000000000000227e+02,1.699081704243536883e+00,2.898459742197700417e-01,7.915988887694638265e-01,2.032604712190291263e-01
2.851999999999999886e+02,1.708742493565257314e+00,2.877520127384632365e-01,7.925696598723780406e-01,2.026300488593190674e-01
2.853000000000000114e+02,1.709813923278223458e+00,2.870428672272032355e-01,7.937225229846914809e-01,2.028195977744479128e-01
2.854000000000000341e+02,1.714340571729596974e+00,2.877155667330105193e-01,7.959141262050872800e-01,2.043655207309057198e-01
2.855000000000000000e+02,1.726023174029853280e+00,2.907161177992285683e-01,8.018249992666899306e-01,2.028938478868087258e-01
2.856000000000000227e+02,1.734331675237327453e+00,2.928459748754498326e-01,8.041346630275075791e-01,2.037431634370053535e-01
2.856999999999999886e+02,1.735601148850332232e+00,2.950798053272548627e-01,8.066389597089391739e-01,2.072502571030276908e-01
2.858000000000000114e+02,1.731207066191480903e+00,2.969149611484985796e-01,8.071951202566843842e-01,2.062770182037975408e-01
2.859000000000000341e+02,1.735817107448455854e+00,2.983176896815405432e-01,8.085898788086972599e-01,2.069957867597085333e-01
2.860000000000000000e+02,1.741083781778069328e+00,2.984866488195516698e-01,8.072562972655890068e-01,2.086397567106717810e-01
2.861000000000000227e+02,1.742541054711567172e+00,2.961245002139323290e-01,8.039902652225356938e-01,2.046049998042105966e-01
2.861999999999999886e+02,1.742351670593443203e+00,2.967648208647447050e-01,8.020603131138376307e-01,2.055094460417107860e-01
2.863000000000000114e+02,1.749356997067312625e+00,2.967911632070605044e-01,8.008660079596411352e-01,2.054035822909175690e-01
2.864000000000000341e+02,1.754694550762412320e+00,2.965294487635166676e-01,8.001323672627541628e-01,2.080956413379115300e-01
2.865000000000000000e+02,1.758125081104997545e+00,2.975590893838420681e-01,7.996686260937059254e-01,2.119536458752905583e-01
2.866000000000000227e+02,1.758285811401764098e+00,2.979004650559792244e-01,8.002325048812002350e-01,2.147965541668298561e-01
2.866999999999999886e+02,1.770993397631930977e+00,2.952433996471841016e-01,8.001190901073556017e-01,2.141384266389301516e-01
2.868000000000000114e+02,1.774265882661418381e+00,2.942625378639625033e-01,8.008039842886162107e-01,2.125224800009073156e-01
2.869000000000000341e+02,1.776153671568054371e+00,2.953806855076566706e-01,8.009528338638387535e-01,2.123920385983052439e-01
