lag_ps,Li_A2,Zr_A2,Cl_A2,O_A2
1.819999999999999929e+01,1.788005452550468499e+00,2.387755787520905171e-01,5.204415605268545297e-01,1.841413918833053331e-01
1.830000000000000071e+01,1.794003252506551016e+00,2.390732799534935338e-01,5.209697349888238183e-01,1.826812769151187066e-01
1.840000000000000213e+01,1.799906554562668681e+00,2.387817009506547072e-01,5.210684283527031724e-01,1.839793290008240045e-01
1.850000000000000000e+01,1.798899775141814539e+00,2.380759410975263335e-01,5.202018485144309645e-01,1.828652428966629773e-01
1.860000000000000142e+01,1.799456893874072927e+00,2.367886302746457783e-01,5.198651130346854110e-01,1.823944119605127867e-01
1.869999999999999929e+01,1.799544699351547150e+00,2.350325079962432562e-01,5.181147339745867386e-01,1.818363396085181938e-01
1.880000000000000071e+01,1.804804142550089585e+00,2.331213209251329355e-01,5.164586002955716681e-01,1.811357731614699484e-01
1.890000000000000213e+01,1.804667271471672496e+00,2.324451348145685492e-01,5.165047224744324650e-01,1.783951927187871211e-01
1.900000000000000000e+01,1.804429433017257889e+00,2.326448351698092998e-01,5.184800439235868197e-01,1.774486447745737272e-01
1.910000000000000142e+01,1.809148190351651753e+00,2.324223827807171405e-01,5.198908164802488185e-01,1.783815493025252830e-01
1.920000000000000284e+01,1.812487702430126246e+00,2.329901376572951488e-01,5.223373489157713268e-01,1.790782674151899512e-01
1.930000000000000071e+01,1.818027117647881052e+00,2.344064847998804380e-01,5.246566890309964926e-01,1.806360434765348355e-01
1.940000000000000213e+01,1.821365119354823037e+00,2.361687786668175970e-01,5.259064383625648986e-01,1.821365646015200290e-01
1.950000000000000000e+01,1.823255555737281375e+00,2.382839039459044850e-01,5.269132189407897959e-01,1.838899475514979009e-01
1.960000000000000142e+01,1.830644251363241937e+00,2.399932102121523636e-01,5.290189904784683428e-01,1.840058336143890472e-01
1.970000000000000284e+01,1.834780962291556738e+00,2.412230993790842049e-01,5.309361734809218136e-01,1.853188222199661228e-01
1.980000000000000071e+01,1.835858111924126845e+00,2.421477038041806307e-01,5.314794846844544951e-01,1.850566213017408035e-01
1.990000000000000213e+01,1.836401325278151253e+00,2.423332468410698270e-01,5.327319917758497336e-01,1.857045950615343333e-01
2.000000000000000000e+01,1.839156112883828742e+00,2.425301422107369598e-01,5.337256295881640522e-01,1.849007776788372248e-01
2.010000000000000142e+01,1.842858638969114393e+00,2.422233583777960997e-01,5.332508806482654240e-01,1.843698321741418233e-01
