stage_time_ps,Li_A2,Zr_A2,O_A2,Cl_A2
1.469999999999999929e+01,1.493152429249490183e+02,1.268566269365949672e+01,1.155046816379267405e+01,3.394465539342180449e+01
1.475000000000000000e+01,1.509938244533036880e+02,1.284617027439560211e+01,1.161431587301117929e+01,3.376698840028134896e+01
1.480000000000000071e+01,1.503825861523551453e+02,1.277828277489869713e+01,1.172314646148920581e+01,3.357034003127493804e+01
1.485000000000000142e+01,1.521249816641840482e+02,1.280554053419337102e+01,1.235120326082409292e+01,3.377607762457942897e+01
1.490000000000000213e+01,1.513975492996237051e+02,1.275139897120924637e+01,1.186073997080131370e+01,3.370354850714159056e+01
1.494999999999999929e+01,1.530220482959328479e+02,1.235919250740377784e+01,1.191437070803297615e+01,3.396703665558685969e+01
1.500000000000000000e+01,1.540221591479249525e+02,1.270604107834329177e+01,1.173691489524559728e+01,3.367623262630947778e+01
1.505000000000000071e+01,1.515403494333774574e+02,1.291351516949515599e+01,1.149864821082636546e+01,3.376515526846620929e+01
1.510000000000000142e+01,1.466095573667870724e+02,1.327102027324403899e+01,1.203260196364422363e+01,3.403513292710419336e+01
1.515000000000000213e+01,1.470160650830479483e+02,1.332791493749174805e+01,1.193943740445828183e+01,3.425990904059672459e+01
1.519999999999999929e+01,1.473467662481295406e+02,1.335307281071640517e+01,1.200268553633100233e+01,3.465450887472955088e+01
1.525000000000000000e+01,1.458080779246714371e+02,1.345857838492919711e+01,1.241883850948559598e+01,3.502899525202519726e+01
1.530000000000000071e+01,1.464119722685191505e+02,1.375833600302582482e+01,1.266322831760244405e+01,3.497130882361420134e+01
1.535000000000000142e+01,1.460093682118471463e+02,1.365612827537313301e+01,1.281807533295129353e+01,3.507104729108461783e+01
1.540000000000000213e+01,1.431850657076363404e+02,1.377551583864998186e+01,1.230169685815549485e+01,3.513031873478960421e+01
1.544999999999999929e+01,1.432872481879152531e+02,1.357735025739977885e+01,1.252190495501765177e+01,3.506095089980748014e+01
1.550000000000000000e+01,1.438392174720105174e+02,1.359039912671411621e+01,1.259665217488847055e+01,3.496041459977393373e+01
1.555000000000000071e+01,1.428634811664854567e+02,1.340321128865235067e+01,1.304702646237488572e+01,3.471182206112639790e+01
1.560000000000000142e+01,1.428183094144538927e+02,1.337866569869404110e+01,1.333924286648841928e+01,3.482402763439831972e+01
1.565000000000000213e+01,1.456524732940990248e+02,1.322072086452821083e+01,1.337760307990968478e+01,3.433195869731531502e+01
1.569999999999999929e+01,1.481902242294734435e+02,1.301336973724078483e+01,1.368595984425049039e+01,3.393830957487902822e+01
1.575000000000000000e+01,1.479593023885859395e+02,1.290050340246340888e+01,1.312861476497441693e+01,3.406106427993405816e+01
1.580000000000000071e+01,1.471190566897201109e+02,1.317044316961600003e+01,1.322695285596932457e+01,3.439242827411084846e+01
1.585000000000000142e+01,1.478193240363058010e+02,1.335469804279346739e+01,1.313547623068812875e+01,3.491352287340338734e+01
1.590000000000000213e+01,1.475731125529720771e+02,1.332518360996645335e+01,1.299241266640744108e+01,3.502864329439027102e+01
1.594999999999999929e+01,1.478297942650016523e+02,1.337703497595744473e+01,1.241412866951285565e+01,3.504918655207048062e+01
1.600000000000000000e+01,1.503519678432931812e+02,1.336345529900095563e+01,1.252760833362992798e+01,3.529974660661816444e+01
1.605000000000000071e+01,1.513242572089499447e+02,1.344898936782988130e+01,1.261780267440938985e+01,3.582311589769785343e+01
1.610000000000000142e+01,1.524045457649969819e+02,1.352890150172650685e+01,1.256088759735980709e+01,3.600622487515406789e+01
1.615000000000000213e+01,1.522304933702323524e+02,1.352751970582811403e+01,1.202240964697868542e+01,3.609981039046073192e+01
1.619999999999999929e+01,1.517342854636514460e+02,1.324102642186740120e+01,1.198524182728652399e+01,3.606806598194669533e+01
1.625000000000000000e+01,1.561479814196877385e+02,1.313493864681027823e+01,1.162857800443012657e+01,3.577584948389969810e+01
1.630000000000000071e+01,1.586575330730208861e+02,1.316758613600105043e+01,1.175421959991819953e+01,3.567203666156762409e+01
1.635000000000000142e+01,1.589493766968109867e+02,1.320493407140182995e+01,1.199538126102282831e+01,3.550124397922503050e+01
1.640000000000000213e+01,1.575242238744656902e+02,1.318335153022620432e+01,1.233737127161018954e+01,3.548238711369861420e+01
1.644999999999999929e+01,1.580108244695679218e+02,1.311378538895131207e+01,1.221467141643456422e+01,3.542594936918849413e+01
1.650000000000000000e+01,1.575724993729500341e+02,1.306474003693002572e+01,1.202669983263537290e+01,3.543086444195561313e+01
1.655000000000000071e+01,1.566197540747588732e+02,1.322926984817184426e+01,1.224632715692669827e+01,3.544925125044322556e+01
1.660000000000000142e+01,1.565295810549231135e+02,1.313052328495427190e+01,1.272081845451103099e+01,3.551907633698955635e+01
1.665000000000000213e+01,1.562329680302272550e+02,1.281091460683045113e+01,1.233818939727144937e+01,3.563644070422774490e+01
1.669999999999999929e+01,1.560744358617147896e+02,1.248318628321992740e+01,1.235108673779130761e+01,3.530995716071767987e+01
1.675000000000000000e+01,1.537945477887909362e+02,1.231987869238288624e+01,1.203843449186064340e+01,3.499616253866265936e+01
1.680000000000000071e+01,1.523527577973280529e+02,1.222347759455987948e+01,1.167606138825046891e+01,3.465750316981611689e+01
1.685000000000000142e+01,1.528667757886425989e+02,1.233106062885602228e+01,1.158037200267426670e+01,3.469609581612260740e+01
1.690000000000000213e+01,1.536790545398166046e+02,1.235865039653211284e+01,1.172553355177569223e+01,3.481519846613771563e+01
1.694999999999999929e+01,1.531198919399974727e+02,1.219522930215432588e+01,1.141922237640081761e+01,3.485672201201519727e+01
1.700000000000000000e+01,1.571581750335829213e+02,1.193893013317354068e+01,1.198539431312072878e+01,3.480311187467218303e+01
1.705000000000000071e+01,1.580217729449584567e+02,1.164243155066127144e+01,1.177114947951524471e+01,3.503256249142524581e+01
1.710000000000000142e+01,1.583598607063055681e+02,1.163945616203751321e+01,1.171126610049390848e+01,3.513195074204870139e+01
1.715000000000000213e+01,1.547150165280891088e+02,1.180002154091995159e+01,1.201349695568984011e+01,3.525776154933566175e+01
1.719999999999999929e+01,1.552519686512093813e+02,1.195309896368011771e+01,1.198477464602192377e+01,3.560438653341944359e+01
1.725000000000000000e+01,1.530226889597305160e+02,1.211025304576642192e+01,1.231752028749144223e+01,3.584907710767610922e+01
1.730000000000000071e+01,1.569745938434347750e+02,1.233953755647091555e+01,1.284073886713287038e+01,3.540173598273923972e+01
1.735000000000000142e+01,1.562170827619852957e+02,1.247853843681690655e+01,1.240112774314320632e+01,3.505295423882240158e+01
1.740000000000000213e+01,1.535630097789764932e+02,1.248362829869108204e+01,1.233177461239088046e+01,3.490761124957630557e+01
1.744999999999999929e+01,1.531506058759639473e+02,1.256265905058886467e+01,1.278395500266615947e+01,3.478925470849060275e+01
1.750000000000000000e+01,1.531681367512703673e+02,1.249100482036621429e+01,1.301429315930911912e+01,3.463785405782197557e+01
1.755000000000000071e+01,1.553676898821262853e+02,1.238595255973592124e+01,1.261769832544629288e+01,3.430437801675401488e+01
1.760000000000000142e+01,1.551525815984641099e+02,1.229247775712364721e+01,1.281419618161248763e+01,3.434346290843313199e+01
1.765000000000000213e+01,1.550941239086883456e+02,1.228845444724337987e+01,1.312157410370418376e+01,3.422880259795083902e+01
1.769999999999999929e+01,1.559362785738784396e+02,1.224411021761673446e+01,1.306836570123689434e+01,3.424020149386244327e+01
1.775000000000000000e+01,1.575185630534912775e+02,1.222727589945690774e+01,1.298580119163073654e+01,3.452507291856058913e+01
1.780000000000000071e+01,1.537878107115700459e+02,1.223089299122371010e+01,1.317262467881652732e+01,3.486503473006988685e+01
1.785000000000000142e+01,1.564066102042430373e+02,1.207048480438874272e+01,1.312097866396089785e+01,3.506269306439348554e+01
1.790000000000000213e+01,1.533418619033034531e+02,1.201637547996200794e+01,1.294267618351810789e+01,3.483654743539099741e+01
1.794999999999999929e+01,1.552698281985463495e+02,1.214664561721233582e+01,1.275737423445786156e+01,3.482478175498815176e+01
1.800000000000000000e+01,1.543271679562909071e+02,1.208662993956515486e+01,1.218727076604755410e+01,3.473299645702765304e+01
1.805000000000000071e+01,1.526450562772709532e+02,1.175711206736731107e+01,1.262203193715127902e+01,3.487437509353764398e+01
1.810000000000000142e+01,1.527715271115000633e+02,1.149395023943823269e+01,1.235932057540210316e+01,3.450417806347738292e+01
1.815000000000000213e+01,1.548086697996893122e+02,1.140477266443381943e+01,1.221902644858904807e+01,3.456911433313894833e+01
1.819999999999999929e+01,1.557324229117790537e+02,1.159698142383354025e+01,1.319293497275554650e+01,3.464436509215900628e+01
1.825000000000000000e+01,1.566246669461310717e+02,1.194810006475767317e+01,1.332011608578359052e+01,3.441394001768062338e+01
1.830000000000000071e+01,1.575922434886532244e+02,1.203116615771820896e+01,1.341933519295043986e+01,3.451901513877548666e+01
1.835000000000000142e+01,1.583137857451563946e+02,1.227408841807326390e+01,1.358373454902325683e+01,3.418100894278744306e+01
1.840000000000000213e+01,1.605324574028951758e+02,1.214190364702884928e+01,1.367944055928943392e+01,3.442184431704241376e+01
1.844999999999999929e+01,1.591399600030410966e+02,1.229781249044697411e+01,1.326276431892519270e+01,3.469403102616946200e+01
1.850000000000000000e+01,1.589863207770119971e+02,1.236240482690954146e+01,1.339167381538980983e+01,3.478786398330898066e+01
1.855000000000000071e+01,1.631962008355412195e+02,1.230708841343916049e+01,1.326059131029002458e+01,3.460854059943368810e+01
1.860000000000000142e+01,1.616619258245338528e+02,1.247792047138961635e+01,1.356618032313600963e+01,3.439999473151308962e+01
1.865000000000000213e+01,1.616832291220669902e+02,1.244385042600592151e+01,1.343675625723003897e+01,3.479307196519285128e+01
1.869999999999999929e+01,1.629635625863043629e+02,1.253345304966333451e+01,1.354637836497969694e+01,3.483677942681259765e+01
1.875000000000000000e+01,1.618348552010833430e+02,1.280256862713689792e+01,1.417874850769035255e+01,3.522247616694335903e+01
1.880000000000000071e+01,1.630189430972584432e+02,1.312954939858099834e+01,1.391161640010865064e+01,3.581038346516334769e+01
1.885000000000000142e+01,1.638867434271474508e+02,1.354693674763080047e+01,1.351561800345647413e+01,3.609441769144157064e+01
