lag_ps,Zr_A2,O_A2,Cl_A2
7.500000000000000000e+00,2.122689702596460559e-01,1.834051284160645445e-01,4.891447065352245160e-01
7.600000000000000533e+00,2.112010080852284588e-01,1.845810067166969992e-01,4.895597425060436714e-01
7.700000000000000178e+00,2.096308514067684037e-01,1.824402615259453908e-01,4.885175644777915993e-01
7.800000000000000711e+00,2.088067947948092917e-01,1.812563394868746680e-01,4.891013115691154600e-01
7.900000000000000355e+00,2.095840444957753623e-01,1.816712330034361556e-01,4.925146225157381319e-01
8.000000000000000000e+00,2.109815612824131881e-01,1.832722406554682659e-01,4.962598298424994447e-01
8.099999999999999645e+00,2.127118797664298566e-01,1.842339144280135121e-01,4.983909657231400669e-01
8.200000000000001066e+00,2.139065880148261489e-01,1.838593803977806862e-01,4.998276533827618051e-01
8.300000000000000711e+00,2.150538311705060546e-01,1.842025930036748915e-01,5.029753622030771476e-01
8.400000000000000355e+00,2.158567780238508371e-01,1.861716611033881752e-01,5.063464306332831066e-01
8.500000000000000000e+00,2.161132407950848988e-01,1.854847107210621793e-01,5.092291889718469911e-01
8.599999999999999645e+00,2.163905784260406195e-01,1.857000173859096881e-01,5.102210316600628293e-01
8.700000000000001066e+00,2.159072124244559854e-01,1.868504978409228912e-01,5.100424864275925341e-01
8.800000000000000711e+00,2.146385668471453845e-01,1.861170820675070170e-01,5.081157363813730843e-01
8.900000000000000355e+00,2.138123377411276504e-01,1.853384903461635369e-01,5.070761432015085113e-01
9.000000000000000000e+00,2.139188847558897155e-01,1.840327003898526714e-01,5.088851106117535661e-01
9.099999999999999645e+00,2.142540396039200323e-01,1.842752665372515697e-01,5.114459303738637663e-01
9.200000000000001066e+00,2.157682720293100653e-01,1.847344439821442530e-01,5.154272010661792303e-01
9.300000000000000711e+00,2.173998450562641682e-01,1.846017950286968912e-01,5.194251669498427537e-01
9.400000000000000355e+00,2.179133753756157255e-01,1.849266713748036750e-01,5.215583703605980448e-01
9.500000000000000000e+00,2.183969945745462826e-01,1.850781795477104141e-01,5.231849493565683407e-01
9.600000000000001421e+00,2.189159222977194175e-01,1.850031151468130852e-01,5.247274781524114973e-01
9.700000000000001066e+00,2.199481108621789693e-01,1.877661333685986811e-01,5.268707387579253387e-01
9.800000000000000711e+00,2.206162599261788648e-01,1.886909567960430301e-01,5.286647117487889291e-01
9.900000000000000355e+00,2.217545971415907924e-01,1.881522961211506972e-01,5.306241280977351815e-01
1.000000000000000000e+01,2.231141459234335656e-01,1.908986134020791703e-01,5.324352922269521837e-01
1.010000000000000142e+01,2.240114247699116212e-01,1.906532029832535557e-01,5.342292145600966435e-01
1.020000000000000107e+01,2.243179793994972693e-01,1.900073495194885276e-01,5.358777077606661221e-01
1.030000000000000071e+01,2.242008544172800488e-01,1.892050769333657734e-01,5.383380671875428458e-01
1.040000000000000036e+01,2.243386944499860258e-01,1.889824229026504931e-01,5.404096218246601246e-01
1.050000000000000000e+01,2.242894252379182274e-01,1.895718433295738581e-01,5.426523076227544040e-01
1.060000000000000142e+01,2.233167791442726979e-01,1.886897139574297000e-01,5.440717117612732245e-01
1.070000000000000107e+01,2.237781594126499740e-01,1.888614886549446481e-01,5.464996674210288452e-01
1.080000000000000071e+01,2.241839814014140730e-01,1.893910562380466400e-01,5.476639364991651160e-01
1.090000000000000036e+01,2.246449465637215537e-01,1.919154194106932054e-01,5.485178756154607260e-01
