r_A,lag_1ps_A-1,lag_5ps_A-1,lag_10ps_A-1,lag_50ps_A-1
7.224999999999999645e+00,0.000000000000000000e+00,9.076541944302099225e-04,5.643959319656340935e-03,6.107039751276947814e-02
7.275000000000000355e+00,0.000000000000000000e+00,1.388177003246178704e-03,6.301507978256968082e-03,6.141738840772731356e-02
7.325000000000001066e+00,0.000000000000000000e+00,1.281394156842649264e-03,5.643959319656340935e-03,5.746169220519673632e-02
7.375000000000000000e+00,5.231876778838123602e-05,1.067828464035541162e-03,4.767227774855355843e-03,6.190317566067087690e-02
7.425000000000000711e+00,0.000000000000000000e+00,9.076541944302099225e-04,5.369980711906034015e-03,5.947423939595846559e-02
7.474999999999999645e+00,0.000000000000000000e+00,8.542627712284329511e-04,4.876819217955479305e-03,5.406118143459934244e-02
7.525000000000000355e+00,0.000000000000000000e+00,5.873056552195371439e-04,4.931614939505453432e-03,5.565733955140938355e-02
7.575000000000001066e+00,0.000000000000000000e+00,7.474799248248789000e-04,4.164474837804679405e-03,5.669831223628712252e-02
7.625000000000000000e+00,0.000000000000000000e+00,9.610456176319871107e-04,3.232947571453632148e-03,5.211803242282940507e-02
7.675000000000000711e+00,1.046375355767624720e-04,5.873056552195476607e-04,3.506926179203940369e-03,5.121585609593622829e-02
7.724999999999999645e+00,0.000000000000000000e+00,9.076541944302099225e-04,3.178151849903570851e-03,4.961969797912520186e-02
7.775000000000000355e+00,0.000000000000000000e+00,6.406970784213132479e-04,4.109679116254543949e-03,4.837053075727223983e-02
7.825000000000001066e+00,5.231876778838123602e-05,8.008713480266558713e-04,3.287743293003694313e-03,4.732955807239635354e-02
7.875000000000000000e+00,5.231876778838123602e-05,3.737399624124394500e-04,3.726109065404186425e-03,4.788474350433061938e-02
7.925000000000000711e+00,5.231876778838123602e-05,6.406970784213246320e-04,2.904173242153263064e-03,4.503941816566749134e-02
7.974999999999999645e+00,5.231876778838123602e-05,8.542627712284329511e-04,3.342539014553755610e-03,4.712136353542099865e-02
8.025000000000000355e+00,0.000000000000000000e+00,2.135656928071044431e-04,2.411011748202666286e-03,4.455363091272421944e-02
8.074999999999999289e+00,0.000000000000000000e+00,6.406970784213360161e-04,2.520603191302876918e-03,4.510881634466007428e-02
8.125000000000000000e+00,0.000000000000000000e+00,2.669571160088805200e-04,2.465807469752726716e-03,4.274927825893787975e-02
8.175000000000000711e+00,0.000000000000000000e+00,5.339142320177610399e-04,2.246624583552484563e-03,4.226349100599540581e-02
8.225000000000001421e+00,0.000000000000000000e+00,5.873056552195580690e-04,2.301420305102626958e-03,3.941816566733372801e-02
8.275000000000000355e+00,5.231876778838030767e-05,1.601742696053283120e-04,2.082237418902302406e-03,3.962636020430767431e-02
8.324999999999999289e+00,0.000000000000000000e+00,3.737399624124460094e-04,2.465807469752814320e-03,3.664223850766234331e-02
8.375000000000000000e+00,0.000000000000000000e+00,4.805228088159849901e-04,1.643871646501817883e-03,3.900177659338163738e-02
8.425000000000000711e+00,0.000000000000000000e+00,1.067828464035522215e-04,2.082237418902302406e-03,3.462969131689935115e-02
8.475000000000001421e+00,0.000000000000000000e+00,2.669571160088900067e-04,1.917850254252188771e-03,3.678103486564590630e-02
8.525000000000000355e+00,0.000000000000000000e+00,1.067828464035522215e-04,1.369893038751514866e-03,3.560126582278430596e-02
8.574999999999999289e+00,0.000000000000000000e+00,4.271313856142240108e-04,1.534280203401751017e-03,3.553186764379378387e-02
8.625000000000000000e+00,0.000000000000000000e+00,1.601742696053283120e-04,1.260301595651393573e-03,3.303353320008835942e-02
8.675000000000000711e+00,0.000000000000000000e+00,1.067828464035522215e-04,1.150710152551272496e-03,3.358871863202261832e-02
