lag_ps,Li_A2,P_A2,S_A2
1.819999999999999929e+01,1.046961005844615578e+01,4.374014623407650459e-01,9.160426197605230358e-01
1.830000000000000071e+01,1.051724470141095580e+01,4.384935305584165000e-01,9.177400305307796824e-01
1.840000000000000213e+01,1.056711517366918329e+01,4.393890147965780479e-01,9.196235185100084530e-01
1.850000000000000000e+01,1.061496854881889540e+01,4.405142506459788776e-01,9.215279446350219672e-01
1.860000000000000142e+01,1.066506456883696430e+01,4.415852233955295247e-01,9.237916984684363397e-01
1.869999999999999929e+01,1.071599837874276062e+01,4.426177408812530523e-01,9.255259010693325239e-01
1.880000000000000071e+01,1.076563747724490128e+01,4.435099981987179474e-01,9.276745734081646155e-01
1.890000000000000213e+01,1.081298653336350313e+01,4.438225012600987007e-01,9.286936444265605495e-01
1.900000000000000000e+01,1.086114743247884640e+01,4.436501253060431416e-01,9.295010185333926200e-01
1.910000000000000142e+01,1.090694823100994348e+01,4.431989433673643175e-01,9.295090809409789490e-01
1.920000000000000284e+01,1.095540381884887537e+01,4.420640552599874873e-01,9.295737829423748044e-01
1.930000000000000071e+01,1.100183507921751236e+01,4.419551306753266573e-01,9.300232668699689453e-01
1.940000000000000213e+01,1.104858500374408692e+01,4.428858700985190411e-01,9.320296796327964817e-01
1.950000000000000000e+01,1.109596691060291995e+01,4.438288331573103651e-01,9.337770067825563736e-01
1.960000000000000142e+01,1.114357734509045628e+01,4.444359711046479977e-01,9.348205470217066937e-01
1.970000000000000284e+01,1.119027251762578956e+01,4.442177321404779389e-01,9.350131153554116503e-01
1.980000000000000071e+01,1.123943233825219679e+01,4.438701360027877962e-01,9.354861614297146355e-01
1.990000000000000213e+01,1.128870996012029160e+01,4.444381409419311257e-01,9.365563168242232450e-01
2.000000000000000000e+01,1.133669707872070376e+01,4.459941900599587172e-01,9.387206385266713138e-01
2.010000000000000142e+01,1.138631817081550857e+01,4.473890990139117729e-01,9.416892331026676111e-01
2.020000000000000284e+01,1.143394416800124880e+01,4.489180975907680615e-01,9.442369320465108240e-01
2.030000000000000071e+01,1.148084021401782806e+01,4.488203027797713074e-01,9.449971924910743892e-01
2.040000000000000213e+01,1.152743935793243679e+01,4.478896369702231595e-01,9.443148900650529809e-01
2.050000000000000000e+01,1.157383279261795828e+01,4.473199345201200883e-01,9.450043962704731682e-01
2.060000000000000142e+01,1.162195348802334749e+01,4.472098660205503506e-01,9.454899144658331922e-01
2.070000000000000284e+01,1.167117662753348206e+01,4.479442257605831257e-01,9.473967901321063145e-01
2.080000000000000071e+01,1.172117681093794594e+01,4.487235509933941158e-01,9.492826292435465607e-01
2.090000000000000213e+01,1.176980136393197895e+01,4.492241690426440615e-01,9.509367428462915939e-01
2.100000000000000000e+01,1.181820547089867901e+01,4.506101470181041457e-01,9.534644357749656463e-01
2.110000000000000142e+01,1.186739122961875204e+01,4.526513046884307889e-01,9.571883187274086158e-01
2.120000000000000284e+01,1.191634169722436454e+01,4.541333419358250523e-01,9.595875225017876931e-01
2.130000000000000071e+01,1.196379897928712310e+01,4.547808799814032077e-01,9.609803287636983216e-01
2.140000000000000213e+01,1.201089907660981204e+01,4.550538203680029037e-01,9.625573983591921845e-01
2.150000000000000000e+01,1.205757372900895419e+01,4.554476318475713104e-01,9.640425497700770840e-01
2.160000000000000142e+01,1.210473989554505714e+01,4.559259453180959376e-01,9.653518398449595361e-01
2.170000000000000284e+01,1.215278515281669947e+01,4.559448797740816017e-01,9.658952516554939471e-01
2.180000000000000071e+01,1.220098069172413879e+01,4.555078264781737829e-01,9.658867148753887966e-01
2.190000000000000213e+01,1.224834073082725183e+01,4.556125302089401030e-01,9.669831775655897133e-01
2.200000000000000000e+01,1.229559582548471752e+01,4.557359601736458710e-01,9.682902103986849029e-01
