lag_ps,Li_A2,Zr_A2,Cl_A2,S_A2,O_A2
9.700000000000001066e+00,9.206760686021339124e-01,2.930756173176609081e-01,5.706395918630159381e-01,2.456271300240709943e-01,3.512792220887755446e-01
9.800000000000000711e+00,9.238437301330988394e-01,2.931401164065505216e-01,5.709892178895483728e-01,2.457262793675535073e-01,3.513381890984449418e-01
9.900000000000000355e+00,9.274195777843293742e-01,2.934873227459480205e-01,5.726746402692693971e-01,2.460094071113177738e-01,3.521531905628472181e-01
1.000000000000000000e+01,9.307056359411913782e-01,2.940442458833480988e-01,5.748906297076431526e-01,2.462726013875609632e-01,3.527429194378376431e-01
1.010000000000000142e+01,9.323074102234512051e-01,2.945696485509001761e-01,5.767398825688799802e-01,2.463822506162056114e-01,3.530345766699256593e-01
1.020000000000000107e+01,9.355341744767162737e-01,2.952729567128955512e-01,5.780581704509250018e-01,2.469295005383584096e-01,3.539687363588770452e-01
1.030000000000000071e+01,9.376939544400475501e-01,2.965501851560576885e-01,5.794984786253987163e-01,2.478313021758579149e-01,3.553461226786794880e-01
1.040000000000000036e+01,9.401646028568617641e-01,2.978960118926581857e-01,5.809888717655850021e-01,2.490079236787568207e-01,3.563107837415009915e-01
1.050000000000000000e+01,9.442032123238013330e-01,2.994369734836559993e-01,5.830814001669393232e-01,2.506218283058070928e-01,3.583313337735219428e-01
1.060000000000000142e+01,9.489531664686023937e-01,3.010156800984468695e-01,5.854746782528438276e-01,2.522574475629842938e-01,3.601646822031590034e-01
1.070000000000000107e+01,9.530283667990089302e-01,3.023349651989196141e-01,5.881079515927585266e-01,2.536195206278675784e-01,3.617777969104549185e-01
1.080000000000000071e+01,9.587419474222077520e-01,3.035412373216880288e-01,5.909789574931096912e-01,2.548629163350405458e-01,3.632353308601399267e-01
1.090000000000000036e+01,9.625196853508257711e-01,3.051887829233687066e-01,5.939535711891605896e-01,2.563048312890047753e-01,3.649612869639206614e-01
1.100000000000000000e+01,9.685659630212433147e-01,3.069642697589799463e-01,5.969515075097341361e-01,2.576660920393224474e-01,3.667510794089005599e-01
1.110000000000000142e+01,9.735326262902168626e-01,3.086858435823965907e-01,5.994124490029623109e-01,2.583913139497938660e-01,3.679124367175293231e-01
1.120000000000000107e+01,9.768655551100033918e-01,3.102731112525378698e-01,6.017266601717768948e-01,2.588821170783032755e-01,3.688951945227079143e-01
1.130000000000000071e+01,9.812834929043044996e-01,3.114847253015948225e-01,6.038463046107127585e-01,2.595052355648579390e-01,3.699347225836071562e-01
1.140000000000000036e+01,9.832062815810201917e-01,3.122733832654835395e-01,6.051445155114688612e-01,2.600156674984499539e-01,3.706248725615592932e-01
1.150000000000000000e+01,9.865990469540116825e-01,3.131040018667259339e-01,6.070158932420803843e-01,2.602338482365528227e-01,3.711640998103059030e-01
1.160000000000000142e+01,9.902441322284332159e-01,3.137639212096464125e-01,6.083838372176498810e-01,2.606579666122377792e-01,3.719261857803551896e-01
1.170000000000000107e+01,9.934328552288411718e-01,3.140832570516468025e-01,6.093543680013320252e-01,2.607994448416268152e-01,3.724770991924188923e-01
1.180000000000000071e+01,9.963017741626947199e-01,3.141438368009099036e-01,6.108445409814515781e-01,2.608652222753103933e-01,3.729211762066905744e-01
1.190000000000000036e+01,9.996355489159041152e-01,3.137391074653024803e-01,6.114177520985341063e-01,2.607948559135955247e-01,3.728520454594857481e-01
1.200000000000000000e+01,1.001983508355247965e+00,3.130363679328714843e-01,6.104139020912222602e-01,2.601687526197627442e-01,3.724360556019770674e-01
1.210000000000000142e+01,1.004013309223786399e+00,3.121966191402479884e-01,6.091103321804521853e-01,2.597877145286758838e-01,3.719553724510275550e-01
1.220000000000000107e+01,1.005636680920874548e+00,3.115856390917951524e-01,6.084927110916599213e-01,2.596820906421107855e-01,3.723809056914308413e-01
1.230000000000000071e+01,1.008409521586313362e+00,3.114797511723333967e-01,6.092416283649055853e-01,2.596357476896338223e-01,3.726699749203838952e-01
1.240000000000000036e+01,1.010936945077647309e+00,3.114934614951495040e-01,6.107857117978640060e-01,2.595920816345860249e-01,3.727451710845698929e-01
1.250000000000000000e+01,1.013105791576704773e+00,3.114671272866842422e-01,6.125619610339243515e-01,2.597757656570496287e-01,3.730239403658766606e-01
1.260000000000000142e+01,1.017402278659432557e+00,3.118854174281027181e-01,6.149684566000082064e-01,2.604408421744861535e-01,3.739667321868581085e-01
