time_ps,T_K,P_GPa,PE_eV_atom,rho_g_cm3
1.860000000000000142e+01,7.903565985200000341e+02,1.189760384753333344e-01,-4.784818095833332841e+00,1.641435166530469170e+00
1.865000000000000213e+01,7.405350321700000222e+02,1.122316161403333346e-01,-4.774700665520833276e+00,1.647732611436103056e+00
1.869999999999999929e+01,8.642894472200000564e+02,3.894815419333333417e-01,-4.781857176041666158e+00,1.651494995888735273e+00
1.875000000000000000e+01,9.081143725199999608e+02,9.874892621666668535e-02,-4.780843208958333257e+00,1.648889860226604220e+00
1.880000000000000071e+01,9.088704318200000216e+02,2.495436334598033490e-01,-4.781778688541666433e+00,1.640752506201455851e+00
1.885000000000000142e+01,7.445606181800000059e+02,-1.455390276566666807e-01,-4.765789571041666228e+00,1.627234875041558393e+00
1.890000000000000213e+01,8.203821918600000345e+02,9.803769791333334649e-02,-4.780594627708333100e+00,1.615761705613323773e+00
1.894999999999999929e+01,8.167011539699999503e+02,2.411782325286666584e-01,-4.787568885156249898e+00,1.602150592316753386e+00
1.900000000000000000e+01,7.674012158499999714e+02,4.212455299500000167e-02,-4.790420585937499531e+00,1.582403576923704591e+00
1.905000000000000071e+01,7.276594227599999840e+02,-1.735612136406666506e-01,-4.788110681979167005e+00,1.561251817375208129e+00
1.910000000000000142e+01,7.618213869400000249e+02,-2.057268619500000062e-01,-4.791240057916666295e+00,1.549563895214006948e+00
1.915000000000000213e+01,7.780506484500000397e+02,2.463177153733333569e-01,-4.790509093541666097e+00,1.542513849964281425e+00
1.920000000000000284e+01,7.995043703999999707e+02,-1.249754840536666939e-01,-4.789272536614583409e+00,1.530065108321447154e+00
1.925000000000000000e+01,8.173271260899999788e+02,2.886644073433332694e-02,-4.787792311510416177e+00,1.518444948520320414e+00
1.930000000000000071e+01,7.738715695299999879e+02,2.039402902656666516e-01,-4.779985798281249920e+00,1.506946989423225913e+00
1.935000000000000142e+01,8.220873821400000452e+02,-3.274289778766666381e-01,-4.784817939114582863e+00,1.495298092909238097e+00
1.940000000000000213e+01,7.916674062600000070e+02,2.430904116993333475e-01,-4.780766151822916754e+00,1.491081219285734560e+00
