lag_ps,Li_A2,Zr_A2,O_A2,Cl_A2
1.190000000000000036e+01,1.943938914667151252e+01,2.419684463796640372e+00,1.666300758705266061e+00,6.065452797383224848e+00
1.200000000000000000e+01,1.957682616170710332e+01,2.432011783137132621e+00,1.675019226973848196e+00,6.099487157230984558e+00
1.209999999999999964e+01,1.971847474156641056e+01,2.444666958824534220e+00,1.682475676237292106e+00,6.133160280919194740e+00
1.219999999999999929e+01,1.985687817413556289e+01,2.458126883547009367e+00,1.692127511729018652e+00,6.166233179633371364e+00
1.230000000000000071e+01,1.999354755794535521e+01,2.471338829102092127e+00,1.702868989757087226e+00,6.199357030281903214e+00
1.240000000000000036e+01,2.013511729425907149e+01,2.484729011122348119e+00,1.712552595692784285e+00,6.232737703456029621e+00
1.250000000000000000e+01,2.027599456534971623e+01,2.498395345780566323e+00,1.722318521003308067e+00,6.264631715293546677e+00
1.259999999999999964e+01,2.042019405485665828e+01,2.511420783968166148e+00,1.730954717655565300e+00,6.296617134344995925e+00
1.269999999999999929e+01,2.056160459935107809e+01,2.522652484774117188e+00,1.739471359385048377e+00,6.328581634544870660e+00
1.280000000000000071e+01,2.069585704169386986e+01,2.533159635478366756e+00,1.747153883497102989e+00,6.359558568734215989e+00
1.290000000000000036e+01,2.083389954248368880e+01,2.542543028269511396e+00,1.753867514700022445e+00,6.389450245010075413e+00
1.300000000000000000e+01,2.096981077073466793e+01,2.551127828116981799e+00,1.759860510196848304e+00,6.416993954227224961e+00
1.309999999999999964e+01,2.110676525597872555e+01,2.558217410619558319e+00,1.765249511821109785e+00,6.443459070354482066e+00
1.319999999999999929e+01,2.124982969306229919e+01,2.565774247163326915e+00,1.770124148473863679e+00,6.469373897895822623e+00
1.330000000000000071e+01,2.139319491073171164e+01,2.574294705825075802e+00,1.775760752403719778e+00,6.495885565303189502e+00
1.340000000000000036e+01,2.153360112944356075e+01,2.582802797149640561e+00,1.781486697241531969e+00,6.522389148853585894e+00
1.350000000000000000e+01,2.167309008970312334e+01,2.591744011642348244e+00,1.788525697061444708e+00,6.547401046574703898e+00
1.359999999999999964e+01,2.181109760813220078e+01,2.600038841074525209e+00,1.793536547440454765e+00,6.573781462675577281e+00
1.369999999999999929e+01,2.194612368328224505e+01,2.606743171386782354e+00,1.798318746725191319e+00,6.598625635899750819e+00
1.380000000000000071e+01,2.207416246018319583e+01,2.613492289803969637e+00,1.802052088481484571e+00,6.622250694003624538e+00
1.390000000000000036e+01,2.221176183652006131e+01,2.619452184727045996e+00,1.803517724397220912e+00,6.645016452163964971e+00
1.400000000000000000e+01,2.234221830640678874e+01,2.625692374573231014e+00,1.806362776115347790e+00,6.669360404270091358e+00
1.409999999999999964e+01,2.247120950447001420e+01,2.632337985904607436e+00,1.808864784501859058e+00,6.694196000042758499e+00
1.419999999999999929e+01,2.260200784957088871e+01,2.638806928144246555e+00,1.810032086699295828e+00,6.719527275268776911e+00
1.430000000000000071e+01,2.273486956745215082e+01,2.645928111894035428e+00,1.813215228151836333e+00,6.745801907522097629e+00
1.440000000000000036e+01,2.286848280362658414e+01,2.653230486924771814e+00,1.816737705738500130e+00,6.773162928539416150e+00
