lag_ps,Li_A2,Zr_A2,O_A2,Cl_A2
1.900000000000000000e+01,7.010626588195025022e+01,2.375070662955917555e+01,1.349473652006962432e+01,4.084999290087247914e+01
1.910000000000000142e+01,7.044543934384627448e+01,2.386424317774232051e+01,1.356209899455514289e+01,4.101460838295017908e+01
1.919999999999999929e+01,7.078467591665945235e+01,2.397726628803166804e+01,1.362676659788684042e+01,4.117965761459507235e+01
1.930000000000000071e+01,7.112813465429748305e+01,2.408908927505865094e+01,1.369194400782192567e+01,4.134387048341442039e+01
1.940000000000000213e+01,7.147568896448072451e+01,2.420079496192040125e+01,1.375502388159024569e+01,4.150820055703233891e+01
1.950000000000000000e+01,7.182683674741795699e+01,2.431135782955664482e+01,1.381450479951394961e+01,4.167233078289852699e+01
1.960000000000000142e+01,7.217481948442431872e+01,2.442079143019039122e+01,1.387554541820501619e+01,4.183566424982810616e+01
1.969999999999999929e+01,7.252009072107264842e+01,2.452935246533236935e+01,1.393430389283321169e+01,4.199842792126730018e+01
1.980000000000000071e+01,7.286598710035698900e+01,2.463687718370936253e+01,1.399126036896955050e+01,4.216117377151302748e+01
1.990000000000000213e+01,7.320893152394003778e+01,2.474321850993873895e+01,1.404544686512954144e+01,4.232239815277283412e+01
2.000000000000000000e+01,7.355233667021876443e+01,2.484753563304929003e+01,1.409931018601609054e+01,4.248272952123743096e+01
2.010000000000000142e+01,7.388857699109310317e+01,2.495054405403978848e+01,1.414973808206715411e+01,4.264192225512066159e+01
2.019999999999999929e+01,7.422427287820173092e+01,2.505179649058813851e+01,1.420103176562529335e+01,4.279975672762494554e+01
2.030000000000000071e+01,7.456194292280129332e+01,2.515232799548840248e+01,1.425085962474453360e+01,4.295704532611254933e+01
2.040000000000000213e+01,7.489702861545345058e+01,2.525283688257147929e+01,1.430202460632858497e+01,4.311293791131174657e+01
2.050000000000000000e+01,7.523193625772617565e+01,2.535187414966052444e+01,1.435205080733700278e+01,4.326795426629645647e+01
2.060000000000000142e+01,7.557412912757843060e+01,2.545052201886511867e+01,1.440209580695207592e+01,4.342248401755860243e+01
2.069999999999999929e+01,7.591526149584389316e+01,2.554806324127197215e+01,1.445141213950418191e+01,4.357507340242336369e+01
2.080000000000000071e+01,7.625752514384238623e+01,2.564458390608323413e+01,1.449954166228732788e+01,4.372564962092455687e+01
2.090000000000000213e+01,7.660081768305515482e+01,2.574073927113182592e+01,1.454985903727159346e+01,4.387633627698735950e+01
2.100000000000000000e+01,7.693698370367809503e+01,2.583670824666408805e+01,1.460209881537616639e+01,4.402618105595871612e+01
2.110000000000000142e+01,7.728135286274684290e+01,2.593322379746750883e+01,1.465436594974987372e+01,4.417626260649852554e+01
