lag_ps,Li_A2,Zr_A2,Cl_A2,S_A2,O_A2
1.630000000000000071e+01,1.981799550852197056e+00,7.573778371926508379e-01,1.834283716012182319e+00,5.196196515615263412e-01,8.019585139659882733e-01
1.640000000000000213e+01,1.988753124413972229e+00,7.600367000388743577e-01,1.841846195321459989e+00,5.206590789451321921e-01,8.042926367686986655e-01
1.650000000000000000e+01,1.994757505441577372e+00,7.621629488423318222e-01,1.847961526220909034e+00,5.214442852730372113e-01,8.055947433003843861e-01
1.660000000000000142e+01,2.003913927046918619e+00,7.640956016127250505e-01,1.852737238972166356e+00,5.224282538543656429e-01,8.076821857203121402e-01
1.669999999999999929e+01,2.011821706998141224e+00,7.657681292908341542e-01,1.856970472879117429e+00,5.241283543457233574e-01,8.097025559671896522e-01
1.680000000000000071e+01,2.019763937541024568e+00,7.671375500595293273e-01,1.861008527755826814e+00,5.259444768322120156e-01,8.120937351639815338e-01
1.690000000000000213e+01,2.024218187105494948e+00,7.680735753223442153e-01,1.864184869850625148e+00,5.279113064887707152e-01,8.143687272817931033e-01
1.700000000000000000e+01,2.029727306044511792e+00,7.690816520154679647e-01,1.867836403461573536e+00,5.297365151692837726e-01,8.173838337671172072e-01
1.710000000000000142e+01,2.037239186604864027e+00,7.700312230884667208e-01,1.871594466316178762e+00,5.312891439057710885e-01,8.199206993631448226e-01
1.719999999999999929e+01,2.044135586852457109e+00,7.704208074070377776e-01,1.874347029808661080e+00,5.328584786841309429e-01,8.218368315546852321e-01
1.730000000000000071e+01,2.053379360685664956e+00,7.708263141073286029e-01,1.876959059900062066e+00,5.338968792159781707e-01,8.234312826651146722e-01
1.740000000000000213e+01,2.058799483271636976e+00,7.717864228328333853e-01,1.880629435056108356e+00,5.353493378803403369e-01,8.249895710446768504e-01
