lag_ps,MSD_A2
4.100000000000000533e+00,8.787067829574065625e-01
4.200000000000000178e+00,8.823389546995225041e-01
4.299999999999999822e+00,8.854259973789837534e-01
4.400000000000000355e+00,8.892086173985296327e-01
4.500000000000000000e+00,8.931096866269082613e-01
4.600000000000000533e+00,8.955899021155103723e-01
4.700000000000000178e+00,8.996504176275529341e-01
4.800000000000000711e+00,9.041078512395412936e-01
4.900000000000000355e+00,9.047882368217486926e-01
5.000000000000000000e+00,9.081214664271500814e-01
5.100000000000000533e+00,9.130066508346361687e-01
5.200000000000000178e+00,9.165899435756678093e-01
5.300000000000000711e+00,9.228579060272300572e-01
5.400000000000000355e+00,9.276149140791368763e-01
5.500000000000000000e+00,9.305342165082406414e-01
5.600000000000000533e+00,9.335000055045545864e-01
5.700000000000000178e+00,9.367614571175051363e-01
5.800000000000000711e+00,9.397431731403532718e-01
5.900000000000000355e+00,9.453355839426820229e-01
6.000000000000000000e+00,9.509349126166344313e-01
6.100000000000000533e+00,9.542907854755318109e-01
6.200000000000000178e+00,9.582764862582208165e-01
6.300000000000000711e+00,9.630767475021405621e-01
6.400000000000000355e+00,9.653996405578560980e-01
6.500000000000000000e+00,9.703009756621711057e-01
6.600000000000000533e+00,9.742552973795166604e-01
6.700000000000000178e+00,9.777768067128318474e-01
6.800000000000000711e+00,9.829163174951862647e-01
6.900000000000000355e+00,9.862345313384359713e-01
7.000000000000000000e+00,9.907213718223986110e-01
7.100000000000000533e+00,9.954158605716114661e-01
7.200000000000000178e+00,1.000390610103928601e+00
7.300000000000000711e+00,1.001730004944409780e+00
7.400000000000000355e+00,1.005896595419756512e+00
7.500000000000000000e+00,1.010402559568303715e+00
7.600000000000000533e+00,1.014989782251234596e+00
7.700000000000000178e+00,1.020290912869466826e+00
7.800000000000000711e+00,1.023111859849795025e+00
7.900000000000000355e+00,1.026273152309390424e+00
8.000000000000000000e+00,1.027724982059827763e+00
8.099999999999999645e+00,1.031842323195793387e+00
8.200000000000001066e+00,1.036358663688991655e+00
8.300000000000000711e+00,1.039357737189872566e+00
8.400000000000000355e+00,1.043908295130007158e+00
8.500000000000000000e+00,1.045735431489717593e+00
8.599999999999999645e+00,1.046723360644944867e+00
8.700000000000001066e+00,1.047246338510980701e+00
8.800000000000000711e+00,1.047019555005785696e+00
8.900000000000000355e+00,1.049526993880371961e+00
9.000000000000000000e+00,1.053220637335583243e+00
9.099999999999999645e+00,1.055901132198369563e+00
9.200000000000001066e+00,1.056989759349826974e+00
9.300000000000000711e+00,1.058433867587389665e+00
9.400000000000000355e+00,1.060528243201634302e+00
9.500000000000000000e+00,1.063065886654054548e+00
9.600000000000001421e+00,1.066061589173349589e+00
9.700000000000001066e+00,1.068881317359833272e+00
9.800000000000000711e+00,1.070463104252689091e+00
9.900000000000000355e+00,1.071730029629601511e+00
1.000000000000000000e+01,1.074649532243873384e+00
1.010000000000000142e+01,1.076648409865319733e+00
1.020000000000000107e+01,1.079537944072191724e+00
1.030000000000000071e+01,1.079942093382706858e+00
1.040000000000000036e+01,1.081232511957520348e+00
1.050000000000000000e+01,1.079663522454766600e+00
1.060000000000000142e+01,1.081670831607768779e+00
1.070000000000000107e+01,1.082289065128525962e+00
1.080000000000000071e+01,1.082498810164878700e+00
1.090000000000000036e+01,1.083041297111788426e+00
1.100000000000000000e+01,1.082681750824895373e+00
1.110000000000000142e+01,1.084457348438777391e+00
1.120000000000000107e+01,1.085378548573367796e+00
1.130000000000000071e+01,1.087423363641734086e+00
1.140000000000000036e+01,1.091255134388332770e+00
1.150000000000000000e+01,1.093526154178001475e+00
1.160000000000000142e+01,1.094142690511674232e+00
1.170000000000000107e+01,1.097347239799072227e+00
1.180000000000000071e+01,1.100549528087416240e+00
1.190000000000000036e+01,1.103976640449878532e+00
1.200000000000000000e+01,1.107414151456103779e+00
1.210000000000000142e+01,1.110322362261015439e+00
1.220000000000000107e+01,1.113925792252883351e+00
1.230000000000000071e+01,1.116113766736452462e+00
1.240000000000000036e+01,1.118379466506628450e+00
1.250000000000000000e+01,1.120118565010861378e+00
1.260000000000000142e+01,1.121531746521878592e+00
1.270000000000000107e+01,1.125433892502316180e+00
1.280000000000000071e+01,1.127319161150231563e+00
1.290000000000000036e+01,1.128575125595678852e+00
1.300000000000000000e+01,1.129855424582528745e+00
1.310000000000000142e+01,1.132083649475220444e+00
1.320000000000000107e+01,1.134200847162656567e+00
1.330000000000000071e+01,1.137714866489769161e+00
1.340000000000000036e+01,1.141881005093789092e+00
1.350000000000000000e+01,1.148205919056183522e+00
